timestamp,watts,vram_mb,temp_c
1787346759,12.91,326,56
1787346760,12.31,326,57
1787346761,12.37,328,57
1787346762,11.27,331,57
1787346763,22.76,1088,58
1787346764,27.64,1065,59
1787346765,20.32,1065,60
1787346766,20.53,1061,60
1787346767,20.81,1059,60
1787346768,20.46,1059,60
1787346769,20.40,1059,61
1787346770,20.19,1065,61
1787346771,20.00,1065,61
1787346772,18.10,1066,61
1787346773,19.68,1065,61
1787346774,19.61,1065,61
1787346775,19.45,1065,61
1787346776,19.57,1066,62
1787346777,19.74,1066,62
1787346778,19.40,1070,62
1787346779,18.42,1070,62
1787346780,19.54,1070,62
1787346781,19.61,1065,62
1787346782,19.62,1065,62
1787346783,18.95,1065,62
1787346784,20.15,1065,63
1787346785,20.29,1065,63
1787346786,20.23,1073,63
1787346787,20.28,1073,63
1787346788,20.24,1073,63
1787346789,18.80,1072,63
1787346790,19.84,1072,63
1787346791,19.99,1072,64
1787346792,20.25,1072,64
1787346793,20.69,1072,64
1787346794,21.19,1072,64
1787346795,20.37,1072,64
1787346796,20.61,1071,64
1787346797,20.14,1071,64
1787346798,25.02,1071,64
1787346799,20.08,1071,65
1787346800,19.99,1071,64
1787346801,19.93,1071,65
1787346802,20.02,1071,65
1787346803,19.82,1071,65
1787346804,19.79,1071,65
1787346805,20.01,1071,65
1787346806,20.45,1071,65
1787346807,20.08,1071,65
1787346808,19.91,1071,65
1787346809,20.09,1071,65
1787346810,20.18,1071,66
1787346811,20.41,1072,66
1787346812,20.54,1072,66
1787346813,20.32,1073,66
1787346814,20.18,1072,66
1787346815,20.11,1072,66
1787346816,20.37,1071,66
1787346817,19.63,1089,66
1787346818,20.09,1090,66
1787346819,20.33,1089,66
1787346820,19.99,1089,67
1787346821,20.17,1089,67
1787346822,20.10,1087,67
1787346823,18.67,316,67
1787346824,12.53,315,66
1787346825,12.54,304,66
1787346826,12.31,304,65
1787346827,9.83,303,65
1787346828,9.43,303,64
1787346829,9.01,302,64
1787346830,9.20,301,64
1787346831,9.04,321,64
1787346832,13.00,319,65
1787346833,13.27,316,65
1787346834,9.45,516,65
1787346835,14.98,1083,66
1787346836,20.82,1077,67
1787346837,20.83,1062,67
1787346838,20.81,1071,67
1787346839,20.90,1071,67
1787346840,20.86,1071,67
1787346841,20.80,1071,67
1787346842,20.76,1071,67
1787346843,20.61,1071,67
1787346844,20.47,1071,67
1787346845,20.45,1074,67
1787346846,20.43,1074,67
1787346847,20.60,1074,67
1787346848,19.96,1074,67
1787346849,19.98,1074,68
