timestamp,watts,vram_mb,temp_c
1787347176,22.94,1004,81
1787347177,23.50,1004,81
1787347178,22.78,1004,81
1787347179,23.77,1004,81
1787347180,22.81,1004,81
1787347181,23.07,1004,81
1787347182,22.60,1004,81
1787347183,21.88,1004,81
1787347184,22.97,1004,81
1787347185,23.09,1004,81
1787347186,23.25,1004,81
1787347187,23.07,1004,81
1787347188,22.65,1004,81
1787347189,22.38,1004,81
1787347190,22.22,1004,81
1787347191,22.25,1004,81
1787347192,22.21,1004,81
1787347193,22.14,1004,81
1787347194,24.81,1004,81
1787347195,22.04,1004,81
1787347196,22.04,1004,81
1787347197,21.92,1004,81
1787347198,22.13,1004,81
1787347199,22.17,1004,81
1787347200,22.34,1004,81
1787347201,22.46,1004,81
1787347202,22.52,1004,81
1787347203,22.77,1004,81
1787347204,22.73,1004,82
1787347205,22.80,1004,81
1787347206,22.37,1004,81
1787347207,21.71,1004,81
1787347208,22.11,1004,81
1787347209,21.81,1004,81
1787347210,21.23,1004,81
1787347211,21.75,1004,81
1787347212,21.81,1004,81
1787347213,21.94,1004,81
1787347214,21.86,1004,81
1787347215,21.69,1004,81
1787347216,14.67,1015,81
1787347217,14.48,1015,80
1787347218,14.05,365,80
1787347219,11.34,364,79
1787347220,9.78,363,78
1787347221,9.59,363,78
1787347222,9.44,362,77
1787347223,9.48,354,77
1787347224,10.12,542,78
1787347225,14.50,531,78
1787347226,14.15,1001,79
1787347227,22.02,1190,81
1787347228,24.75,1179,81
1787347229,30.82,1173,82
1787347230,30.61,1173,82
1787347231,31.61,1173,82
1787347232,31.30,1173,82
1787347233,30.20,1173,82
1787347234,30.78,1173,82
1787347235,31.11,1173,82
1787347236,31.19,1173,83
1787347237,30.68,1173,82
1787347238,30.26,1173,82
1787347239,29.80,1173,83
1787347240,30.10,1173,83
1787347241,30.09,1173,83
1787347242,30.23,1173,83
1787347243,30.50,1173,83
1787347244,31.04,1173,83
1787347245,30.60,1173,83
1787347246,30.89,1173,83
1787347247,31.06,1173,84
1787347248,32.44,1173,84
1787347249,32.68,1173,84
1787347250,32.09,1173,84
1787347251,31.58,1173,84
1787347252,32.74,1173,84
1787347253,33.45,1173,84
1787347254,32.29,1173,85
1787347255,33.57,1173,85
1787347256,31.78,1173,84
1787347257,31.39,1173,84
1787347258,31.25,1173,84
1787347259,31.50,1173,84
1787347260,31.48,1173,85
1787347261,32.41,1173,85
1787347263,31.49,1173,85
1787347264,30.60,1173,85
1787347265,32.08,1173,85
1787347266,33.62,1173,85
1787347267,33.70,1173,85
1787347268,32.93,1173,85
1787347269,32.58,1173,85
1787347270,31.93,1173,85
1787347271,31.02,1173,85
1787347272,30.97,1173,85
1787347273,30.94,1173,85
1787347274,31.00,1173,85
1787347275,31.03,1173,85
1787347276,31.18,1173,85
1787347277,31.37,1173,85
1787347278,32.03,1173,85
1787347279,32.53,1173,85
1787347280,32.06,1173,85
1787347281,31.14,1173,85
1787347282,29.92,1173,85
1787347283,29.70,1173,85
1787347284,29.37,1173,85
1787347285,29.17,1173,85
1787347286,29.07,1173,85
1787347287,24.26,267,83
1787347288,15.07,267,82
1787347289,14.53,255,82
1787347290,12.41,254,81
1787347291,10.09,253,80
1787347292,10.01,252,80
1787347293,9.87,252,79
1787347294,9.77,251,79
1787347295,10.07,351,79
1787347296,13.39,403,80
1787347297,24.33,384,83
1787347298,34.02,381,83
1787347299,34.30,377,84
1787347300,34.01,375,84
1787347301,33.58,373,84
1787347302,33.78,373,84
1787347303,33.20,373,84
1787347304,34.04,373,84
1787347305,33.50,373,84
1787347306,33.46,373,84
1787347307,33.92,373,84
1787347308,34.16,373,85
1787347309,34.28,373,85
1787347310,34.42,373,85
1787347311,35.50,373,85
1787347312,36.07,373,85
1787347313,36.56,373,85
1787347314,35.76,373,85
1787347315,36.13,373,85
1787347316,36.70,373,85
1787347317,37.83,373,86
1787347318,38.30,373,86
1787347319,38.48,373,86
1787347320,39.06,373,86
1787347321,39.58,373,86
1787347322,40.68,373,87
1787347323,39.84,373,87
1787347324,39.96,373,87
1787347325,40.27,373,87
1787347326,39.08,373,87
1787347327,40.54,373,87
1787347328,40.23,373,87
1787347329,40.34,373,87
1787347330,40.19,373,87
1787347331,40.27,373,87
1787347332,40.00,373,87
1787347333,39.56,373,87
1787347334,39.50,373,87
1787347335,39.19,373,87
1787347336,38.13,373,87
1787347337,38.61,373,87
1787347338,38.35,373,87
1787347339,37.37,373,87
1787347340,37.52,373,87
1787347341,37.23,373,87
1787347342,36.34,373,87
1787347343,36.88,373,87
1787347344,36.19,373,87
1787347345,36.18,373,87
1787347346,34.90,373,87
1787347347,35.49,373,87
1787347348,35.13,373,87
1787347349,34.81,373,87
1787347350,34.52,373,87
1787347351,34.76,373,87
1787347352,34.78,373,87
1787347353,34.33,373,87
1787347354,34.37,373,87
1787347355,33.69,373,87
1787347356,33.85,382,87
1787347357,19.47,384,84
1787347358,15.21,384,83
1787347359,14.00,384,83
1787347360,11.61,383,81
1787347361,10.46,382,81
1787347362,10.18,381,81
1787347363,10.07,381,80
1787347364,10.03,373,80
1787347365,12.85,362,81
1787347366,16.65,638,82
1787347367,21.27,633,82
1787347368,21.33,627,82
1787347369,21.36,626,82
1787347370,21.41,620,82
1787347371,21.41,620,82
1787347372,21.40,620,82
1787347373,21.49,620,82
1787347374,21.32,620,82
1787347375,21.43,620,82
1787347376,21.24,620,82
1787347377,21.16,620,82
1787347378,21.17,620,82
1787347379,20.77,620,82
1787347380,20.88,620,82
