timestamp,watts
1786137552,14.37
1786137553,14.30
1786137554,20.09
1786137555,20.56
1786137556,23.77
1786137557,21.80
1786137558,19.54
1786137559,19.53
1786137560,21.19
1786137561,20.85
1786137562,21.86
1786137563,22.76
1786137564,19.91
1786137565,20.43
1786137566,18.16
1786137567,22.14
1786137568,21.89
1786137569,21.47
1786137570,19.78
1786137571,20.19
1786137572,20.18
1786137573,18.97
1786137574,19.32
1786137575,21.43
1786137576,20.01
1786137577,19.92
1786137578,20.01
1786137579,20.15
1786137580,21.40
1786137581,20.66
1786137582,20.66
1786137583,21.94
1786137584,22.03
1786137585,21.88
1786137586,21.95
1786137587,22.17
1786137588,21.80
1786137589,21.90
1786137590,21.92
1786137591,21.34
1786137592,21.59
1786137593,21.65
1786137594,21.72
1786137595,18.99
1786137596,21.70
1786137597,22.04
1786137599,22.34
1786137599,22.12
1786137600,22.13
1786137602,22.25
1786137602,22.25
1786137604,22.35
1786137604,21.87
1786137606,21.68
1786137607,21.71
1786137608,21.79
1786137609,21.43
1786137610,21.73
1786137611,22.09
1786137612,21.59
1786137613,21.53
1786137614,20.08
