timestamp,watts,vram_mb
1786140878,24.34,2235
1786140879,22.78,2309
1786140880,22.26,2389
1786140881,53.72,2385
1786140882,47.65,2387
1786140883,52.76,2386
1786140884,54.31,2387
1786140885,54.33,2387
1786140886,48.33,2388
1786140887,54.98,2388
1786140888,48.00,2383
1786140889,51.59,2384
1786140890,47.31,2385
1786140891,46.79,2368
1786140892,27.10,2361
1786140893,44.82,2365
1786140894,42.75,2366
1786140895,44.41,2372
1786140896,46.27,2367
1786140897,40.15,2366
1786140898,40.67,2367
1786140899,39.87,839
1786140900,28.79,838
1786140901,22.29,843
1786140902,23.02,843
1786140903,22.67,849
1786140904,23.61,846
1786140905,23.17,846
1786140906,21.89,830
1786140907,22.84,834
1786140908,22.59,834
1786140909,22.80,834
1786140910,22.87,814
1786140911,23.65,814
1786140912,21.98,814
1786140913,24.24,814
1786140914,23.19,814
1786140915,19.86,818
1786140916,21.02,818
1786140917,18.00,811
1786140918,21.57,810
1786140919,20.82,810
1786140921,20.58,816
1786140922,21.17,816
1786140923,21.46,816
1786140924,22.12,816
1786140925,22.47,802
1786140926,20.64,807
1786140927,14.32,841
1786140928,13.64,720
1786140929,10.22,733
1786140930,11.43,727
1786140931,10.17,685
1786140932,11.64,685
1786140933,10.65,698
1786140934,10.59,696
1786140935,12.45,654
1786140936,14.46,655
1786140937,25.85,657
1786140938,14.71,656
1786140939,13.76,656
1786140940,12.80,656
1786140941,9.76,656
1786140942,9.43,656
1786140943,9.33,656
1786140944,9.44,656
1786140945,9.33,656
1786140946,9.96,693
1786140947,15.38,661
1786140948,25.38,649
1786140949,31.53,656
1786140950,31.56,652
1786140951,14.35,646
1786140952,13.67,646
1786140953,10.37,646
1786140954,10.14,646
1786140955,9.69,646
