timestamp,watts,vram_mb,temp_c
1787447360,10.88,187,57
1787447361,13.64,214,58
1787447362,13.48,228,58
1787447363,13.59,340,58
1787447364,13.67,334,58
1787447365,12.76,334,58
1787447366,11.20,338,58
1787447367,11.69,756,58
1787447368,19.36,748,59
1787447369,22.39,744,61
1787447370,20.56,738,61
1787447371,21.35,738,61
1787447372,23.77,738,61
1787447373,23.45,738,62
1787447374,21.84,738,62
1787447375,22.25,738,62
1787447376,22.99,738,62
1787447377,23.53,738,63
1787447378,22.88,738,63
1787447379,24.78,738,63
1787447380,22.86,738,63
1787447381,24.26,742,64
1787447382,22.11,742,64
1787447383,24.76,738,64
1787447384,24.66,738,64
1787447385,25.39,738,65
1787447386,24.24,742,65
1787447387,24.72,742,65
1787447388,24.87,742,65
1787447389,25.15,738,65
1787447390,25.60,738,66
1787447391,22.45,738,66
1787447392,24.57,738,66
1787447393,25.17,738,66
1787447394,25.59,738,67
1787447395,26.57,738,67
1787447396,25.15,738,67
1787447397,24.41,738,67
1787447398,24.53,738,67
1787447399,23.08,738,67
1787447400,24.42,738,67
1787447401,24.24,742,67
1787447402,24.36,742,67
1787447403,24.27,742,67
1787447404,24.08,738,67
1787447405,24.95,738,68
1787447406,26.37,738,68
1787447407,26.28,738,68
1787447408,26.10,738,68
1787447409,27.17,738,68
1787447410,25.41,738,68
1787447411,24.78,738,68
1787447412,24.66,738,68
1787447413,24.41,738,68
1787447414,24.52,738,68
1787447415,24.58,738,68
1787447416,24.57,738,68
1787447417,24.85,738,68
1787447418,25.17,738,69
1787447419,25.23,738,69
1787447420,25.44,738,69
1787447421,24.54,738,69
1787447422,23.83,738,69
1787447423,23.62,738,69
1787447424,23.09,738,69
1787447425,22.76,738,69
1787447426,22.90,742,69
1787447427,18.98,822,69
