timestamp,watts,vram_mb,temp_c
1787319633,12.93,152,53
1787319634,12.88,283,54
1787319635,18.19,371,54
1787319636,23.21,362,56
1787319637,22.78,356,56
1787319638,23.20,356,57
1787319639,22.94,356,57
1787319640,23.49,354,58
1787319641,24.59,359,58
1787319642,24.23,359,58
1787319643,18.51,358,59
1787319644,23.78,358,59
1787319645,23.73,358,59
1787319646,23.32,358,59
1787319647,23.02,359,59
1787319648,23.65,359,60
1787319649,22.74,359,60
1787319650,21.45,359,60
1787319651,22.36,359,60
1787319652,22.29,359,60
1787319653,28.68,359,61
1787319654,23.14,359,61
1787319655,22.90,359,61
1787319656,22.89,359,61
1787319657,23.06,359,61
1787319658,22.45,359,61
1787319659,22.32,359,62
1787319660,22.15,359,62
1787319661,22.10,359,62
1787319662,23.73,359,62
1787319663,23.39,359,62
1787319664,23.91,359,62
1787319665,23.41,359,62
1787319666,22.93,359,63
1787319667,22.60,359,63
1787319668,23.04,359,63
1787319669,22.88,359,63
1787319670,23.01,359,63
1787319671,22.73,359,63
1787319672,21.48,359,63
1787319673,22.76,359,63
1787319674,23.57,359,64
1787319675,23.95,359,64
1787319676,21.29,359,64
1787319677,20.14,359,64
1787319678,20.32,359,64
1787319679,19.93,359,64
1787319680,19.86,359,64
1787319681,19.50,359,64
1787319682,19.31,359,64
1787319683,19.24,359,64
1787319684,19.31,359,64
1787319685,19.36,359,64
1787319686,19.54,359,64
1787319687,19.77,359,64
1787319688,20.07,359,64
1787319689,20.03,359,64
1787319690,19.13,359,64
1787319691,18.78,359,64
1787319692,18.61,359,64
1787319693,18.44,359,64
1787319694,18.41,359,64
1787319695,18.39,359,64
1787319696,12.76,393,63
1787319697,12.71,278,63
1787319698,10.34,277,62
1787319699,9.68,277,62
1787319700,8.68,277,61
1787319701,8.53,277,61
1787319702,8.47,277,61
1787319703,8.44,277,61
1787319704,9.23,439,61
1787319705,21.17,384,63
1787319706,25.08,381,64
1787319707,24.24,373,64
1787319708,24.66,373,65
1787319709,25.01,369,65
1787319710,24.66,366,65
1787319711,25.10,366,65
1787319712,25.00,366,66
1787319713,24.64,366,66
