timestamp,watts,vram_mb,temp_c
1787276995,14.03,432,63
1787276996,26.90,533,65
1787276997,30.00,532,66
1787276998,38.28,534,69
1787276999,59.36,531,74
1787277000,70.43,527,76
1787277001,70.97,526,77
1787277002,71.10,525,78
1787277003,71.25,522,79
1787277004,71.36,522,79
1787277005,71.55,522,80
1787277006,71.78,522,80
1787277007,71.96,522,80
1787277008,72.21,522,81
1787277009,72.40,522,81
1787277010,72.63,522,82
1787277011,72.59,522,82
1787277012,72.80,522,83
1787277013,73.09,522,83
1787277014,73.24,522,83
1787277015,73.40,522,84
1787277016,73.60,522,84
1787277017,73.86,522,84
1787277018,74.05,522,85
1787277019,74.29,522,85
1787277020,74.54,522,85
1787277021,74.74,522,86
1787277022,74.81,522,86
1787277023,74.74,522,86
1787277024,74.78,522,87
1787277025,74.71,522,87
1787277026,71.70,522,86
1787277027,67.89,522,86
1787277028,68.01,522,86
1787277029,68.07,522,86
1787277030,68.01,522,87
1787277031,68.17,522,87
1787277032,68.07,522,87
1787277033,67.90,522,87
1787277034,63.33,522,86
1787277035,62.48,522,86
1787277036,62.57,522,86
1787277037,62.39,522,86
1787277038,62.14,522,86
1787277039,61.75,522,87
1787277040,61.70,522,87
1787277041,61.79,522,87
1787277042,61.77,522,87
1787277043,60.65,522,86
1787277044,57.46,522,86
1787277045,57.67,522,86
1787277046,57.70,522,86
1787277047,57.33,522,87
1787277048,57.18,522,87
1787277049,57.40,522,87
1787277050,57.20,522,87
1787277051,57.15,522,87
1787277052,56.91,522,87
1787277053,56.52,522,87
1787277054,52.06,522,86
1787277055,52.05,522,86
1787277056,32.22,351,81
1787277057,14.96,342,79
1787277058,14.02,341,78
1787277059,13.66,340,78
1787277060,13.35,340,77
1787277061,10.32,340,76
1787277062,10.08,326,75
1787277064,9.80,325,75
1787277065,13.10,538,76
1787277066,28.30,542,78
1787277067,34.07,538,80
1787277068,46.77,537,84
1787277069,69.24,529,87
1787277070,64.43,529,86
1787277071,62.51,529,87
1787277072,61.13,529,86
1787277073,56.95,529,86
1787277074,56.92,529,87
1787277075,56.96,529,87
1787277076,57.09,529,87
1787277077,57.11,529,87
1787277078,54.21,529,86
1787277079,54.76,529,87
1787277080,52.12,529,86
1787277081,51.16,529,86
1787277082,51.13,529,86
1787277083,51.17,529,86
1787277084,51.28,529,86
1787277085,51.25,529,86
1787277086,51.32,529,87
1787277087,51.46,529,87
1787277088,51.43,529,87
1787277089,51.65,529,87
1787277090,51.69,529,87
1787277091,51.48,529,87
1787277092,46.46,529,86
1787277093,46.96,529,87
