timestamp,watts,vram_mb
1786139527,14.98,657
1786139528,14.92,655
1786139529,21.94,785
1786139530,20.02,851
1786139531,23.50,839
1786139532,23.16,820
1786139533,20.63,843
1786139534,20.05,826
1786139535,22.61,823
1786139536,23.03,817
1786139537,23.81,817
1786139538,22.14,817
1786139539,22.76,810
1786139540,22.64,803
1786139541,22.01,814
1786139542,22.51,814
1786139543,23.33,814
1786139544,22.41,810
1786139545,21.48,803
1786139546,22.04,816
1786139547,21.34,816
1786139548,22.12,816
1786139549,22.52,810
1786139550,22.60,810
1786139551,21.87,810
1786139552,22.15,810
1786139553,22.59,810
1786139554,22.57,810
1786139555,21.89,810
1786139556,21.37,816
1786139557,20.98,816
1786139558,22.57,810
1786139559,22.63,803
1786139560,22.76,810
1786139561,22.02,810
1786139562,22.66,810
1786139563,23.05,810
1786139564,22.62,810
1786139565,22.99,810
1786139566,22.57,814
1786139567,21.85,814
1786139568,22.01,814
1786139569,22.09,814
1786139570,22.37,810
1786139571,21.15,822
1786139572,22.41,809
1786139573,22.27,809
1786139574,22.87,816
1786139575,22.18,810
1786139576,21.83,810
1786139577,23.04,810
1786139578,23.54,810
1786139579,22.52,810
1786139580,21.38,810
1786139581,21.99,810
1786139582,21.77,810
1786139583,22.39,810
1786139584,20.64,810
1786139585,22.05,810
1786139586,20.68,816
1786139587,21.45,810
1786139588,21.14,810
1786139589,20.21,601
