timestamp,watts,vram_mb,temp_c
1787447445,13.60,360,64
1787447446,13.45,388,64
1787447447,15.02,380,64
1787447448,14.94,369,64
1787447449,13.78,362,64
1787447450,12.42,355,64
1787447451,14.12,349,64
1787447452,13.78,354,64
1787447453,11.74,354,64
1787447454,10.66,756,64
1787447455,14.28,2518,65
1787447456,18.21,3817,65
1787447458,14.19,3821,65
1787447458,14.10,3654,65
1787447459,14.51,3784,65
1787447460,13.40,3715,65
1787447461,23.21,3809,67
1787447462,22.96,3802,67
1787447463,23.23,3802,67
1787447464,30.54,3809,68
1787447465,37.22,3802,71
1787447466,53.21,3802,74
1787447467,53.68,3802,75
1787447468,51.03,3802,75
1787447469,51.28,3802,76
1787447470,51.94,3796,76
1787447471,49.86,3796,76
1787447472,49.94,3796,76
1787447473,50.91,3796,77
1787447474,51.66,3796,77
1787447475,53.56,3802,78
1787447476,52.16,3798,78
1787447477,46.90,3798,77
1787447478,55.21,3798,79
1787447479,60.15,3798,80
1787447480,61.43,3798,80
1787447481,35.94,3798,78
1787447482,29.47,3798,74
1787447483,29.86,3798,74
1787447484,29.40,3794,73
1787447485,29.23,3799,73
1787447486,30.73,3805,73
1787447487,31.05,3799,73
1787447488,28.07,3800,73
1787447489,29.67,3800,73
1787447490,28.03,3799,73
1787447491,29.30,3799,73
1787447492,29.30,3799,73
1787447493,23.99,3800,73
1787447494,31.48,3793,73
1787447495,30.19,3793,73
1787447496,30.45,3794,73
1787447497,28.96,3794,73
1787447498,31.07,3792,73
1787447499,30.46,3798,73
1787447500,29.21,3798,73
1787447501,28.25,3798,73
1787447502,27.25,3798,73
1787447503,27.13,3798,72
1787447504,26.86,3798,72
1787447505,26.52,3798,72
1787447506,26.35,3798,72
1787447507,26.34,3798,72
1787447508,26.47,3798,72
1787447509,26.65,3798,72
1787447510,26.72,3798,72
1787447511,26.84,3798,72
1787447512,26.86,3798,72
1787447513,26.05,3798,71
1787447514,25.18,3798,71
1787447515,24.96,3798,71
1787447516,24.79,3798,71
1787447517,24.60,3798,71
1787447518,24.47,3798,71
1787447519,21.18,3822,69
1787447520,13.65,3840,69
1787447521,13.63,518,68
1787447522,11.69,517,67
1787447523,10.06,516,67
1787447524,9.72,515,66
1787447525,9.78,515,66
1787447526,9.83,511,66
1787447527,9.65,511,66
1787447529,10.53,437,66
1787447530,11.23,452,66
1787447530,11.38,465,66
1787447532,9.73,464,65
1787447533,10.78,446,66
1787447534,10.96,439,66
1787447535,9.74,439,65
1787447536,12.95,1335,66
1787447537,14.60,3120,67
1787447538,14.50,3734,67
1787447539,14.28,3815,67
1787447540,27.66,3823,69
1787447541,30.19,3830,70
1787447542,38.65,3830,72
1787447543,48.43,3830,75
1787447544,58.24,3830,77
1787447545,54.86,3836,78
1787447546,61.24,3830,79
1787447547,63.03,3830,81
1787447548,61.39,3830,81
1787447549,57.76,3830,81
1787447550,56.49,3830,81
1787447551,59.60,3830,81
1787447552,59.23,3830,82
1787447553,58.85,3836,82
1787447554,57.12,3830,82
1787447555,60.51,3830,83
1787447556,56.51,3836,83
1787447557,52.06,3830,82
1787447558,61.75,3830,84
1787447559,47.54,3830,82
1787447560,30.70,3830,78
1787447561,31.76,3830,77
1787447562,30.79,3830,77
1787447563,31.20,3830,76
1787447564,29.44,3830,76
1787447565,29.77,3830,76
1787447566,31.25,3830,76
1787447567,30.99,3830,76
1787447568,30.24,3830,76
1787447569,29.58,3830,76
1787447570,29.02,3830,75
1787447571,29.36,3830,75
1787447572,29.64,3830,76
1787447573,31.51,3830,76
1787447574,32.27,3830,76
1787447575,32.71,3830,76
1787447576,31.87,3830,76
1787447577,30.61,3830,76
1787447578,31.99,3830,76
1787447579,31.27,3830,76
1787447580,28.88,3823,75
1787447581,28.26,3823,75
1787447582,27.68,3823,75
1787447583,27.33,3823,75
1787447584,26.98,3823,75
1787447585,26.70,3823,75
1787447586,26.55,3823,74
1787447587,26.36,3823,74
1787447588,26.44,3823,74
1787447589,26.44,3823,74
1787447590,26.52,3823,74
1787447591,26.72,3823,74
1787447592,26.55,3823,74
1787447593,25.46,3823,74
1787447594,25.26,3823,74
1787447595,25.14,3823,74
1787447596,24.81,3830,74
1787447597,24.70,3830,73
1787447598,24.57,3830,73
1787447599,22.81,3817,72
1787447600,15.95,3698,72
1787447601,13.99,2525,71
1787447602,13.79,384,71
1787447603,10.87,379,69
1787447604,9.25,378,69
1787447605,9.13,378,68
1787447606,9.09,378,68
1787447607,9.12,373,68
1787447608,9.62,498,68
1787447609,9.61,498,68
1787447610,22.63,670,70
1787447611,22.85,670,70
1787447612,22.62,658,71
1787447613,22.84,656,71
1787447614,22.85,653,71
1787447615,22.56,653,71
1787447616,22.50,653,71
1787447617,22.39,653,71
1787447618,22.36,653,71
1787447619,21.71,653,71
1787447620,22.40,653,71
1787447621,21.65,653,71
1787447622,21.64,653,71
1787447623,21.53,653,71
1787447624,21.30,653,71
1787447625,21.56,659,71
1787447626,21.35,659,71
1787447627,21.67,659,71
1787447628,21.66,659,71
1787447629,21.36,659,72
1787447630,21.68,659,72
1787447631,22.36,659,72
1787447632,22.22,659,72
1787447633,21.69,659,72
1787447634,21.56,659,72
1787447635,21.86,659,72
1787447636,21.83,659,72
1787447637,21.53,659,72
1787447638,21.24,659,72
1787447639,22.03,659,72
1787447640,22.15,659,72
1787447641,22.22,659,72
1787447642,21.70,659,72
1787447643,21.70,659,72
1787447644,21.35,659,72
1787447645,21.42,659,72
1787447646,21.35,659,72
1787447647,21.02,659,72
1787447648,20.90,659,72
1787447649,20.71,659,72
1787447650,21.26,659,72
1787447651,21.30,659,72
1787447652,21.18,659,72
1787447653,21.14,659,72
1787447654,20.96,659,72
1787447655,21.38,659,72
1787447656,21.67,659,72
1787447657,21.65,659,72
1787447658,21.67,659,72
1787447659,22.07,659,72
1787447660,21.63,659,72
1787447661,21.22,659,72
1787447662,20.98,659,72
1787447663,21.65,659,72
1787447664,20.78,659,72
1787447665,20.77,659,72
1787447666,20.82,659,72
1787447667,20.72,659,72
1787447668,20.86,659,72
1787447669,21.04,659,72
1787447670,20.06,670,72
1787447671,14.49,660,71
1787447672,13.83,346,70
1787447673,12.10,346,69
1787447674,9.34,345,69
1787447675,9.25,344,68
1787447676,9.11,344,68
1787447677,9.04,343,67
1787447678,9.75,551,68
1787447679,13.87,471,68
1787447680,38.31,420,73
1787447681,38.26,415,74
1787447682,34.37,415,74
1787447683,37.65,411,74
1787447684,38.76,409,75
1787447685,38.79,409,75
1787447686,36.11,409,75
1787447687,39.80,409,76
1787447688,37.71,409,76
1787447689,38.08,409,76
1787447690,38.90,409,76
1787447691,39.08,409,76
1787447692,38.53,409,76
1787447693,37.33,409,76
1787447694,39.94,409,77
1787447695,39.31,409,77
1787447696,43.29,409,78
1787447697,42.46,409,78
1787447698,43.36,409,78
1787447699,44.74,409,78
1787447700,43.46,409,79
1787447701,43.04,409,79
1787447702,47.19,409,79
1787447703,47.46,409,80
1787447704,45.50,409,80
1787447705,49.86,409,80
1787447706,48.05,409,80
1787447707,48.85,409,80
1787447708,50.19,409,81
1787447709,50.10,409,81
1787447710,49.06,409,81
1787447711,48.19,409,81
1787447712,44.30,409,81
1787447713,43.80,409,81
1787447714,48.11,409,82
1787447715,48.51,409,82
1787447716,46.84,409,82
1787447717,47.63,409,82
1787447718,48.73,409,82
1787447719,44.03,409,81
1787447720,45.97,409,82
1787447721,44.87,409,82
1787447722,44.09,409,81
1787447723,44.33,409,81
1787447724,42.07,409,81
1787447725,43.57,409,81
1787447726,41.31,409,81
1787447727,40.63,409,81
1787447728,40.72,409,81
1787447729,38.39,409,81
1787447730,39.06,409,81
1787447731,39.49,409,81
1787447732,38.54,409,81
1787447733,37.58,409,80
1787447734,38.22,409,80
1787447735,38.13,409,80
1787447736,37.40,409,80
1787447737,36.25,409,80
1787447738,37.51,409,80
1787447739,38.88,418,80
1787447740,14.33,416,76
1787447741,14.32,416,76
1787447742,13.60,416,75
1787447743,13.10,416,74
1787447744,10.00,414,73
1787447745,9.51,413,72
1787447746,9.30,413,72
1787447747,9.28,412,71
1787447748,9.78,399,71
1787447749,9.74,402,71
1787447750,9.75,390,71
1787447751,11.76,1074,71
1787447752,22.71,1068,74
1787447753,22.91,1062,74
1787447754,22.85,1061,74
1787447755,23.06,1061,74
1787447756,23.01,1061,74
1787447757,22.74,1061,74
1787447758,22.77,1061,74
1787447759,22.70,1061,74
1787447760,22.29,1061,74
1787447761,22.02,1061,74
1787447762,22.25,1061,74
1787447763,21.88,1061,74
1787447764,21.93,1061,74
1787447765,21.76,1061,74
1787447766,21.83,1061,74
1787447767,22.16,1061,74
1787447768,21.93,1061,74
1787447769,21.73,1061,74
1787447770,21.49,1061,74
1787447771,21.38,1061,74
1787447772,22.09,1061,74
1787447773,22.41,1061,74
1787447774,21.87,1061,74
1787447775,21.72,1061,74
1787447776,21.97,1061,74
1787447777,22.23,1061,74
1787447778,21.71,1061,74
1787447779,21.11,1061,74
1787447780,22.03,1061,74
1787447781,22.30,1061,74
1787447782,22.68,1061,74
1787447783,22.43,1061,74
1787447784,22.52,1061,74
1787447785,21.94,1061,74
1787447786,21.54,1061,74
1787447787,21.53,1061,74
1787447788,21.49,1061,74
1787447789,21.33,1061,73
1787447790,21.30,1061,73
1787447791,21.24,1061,73
1787447792,21.47,1061,73
1787447793,21.51,1061,73
1787447794,21.28,1061,73
1787447795,21.42,1061,73
1787447796,21.42,1061,73
1787447797,21.34,1061,73
1787447798,21.55,1061,73
1787447799,21.79,1061,73
1787447800,21.87,1061,73
1787447801,21.94,1061,73
1787447802,21.24,1061,73
1787447803,21.33,1061,73
1787447804,21.09,1061,73
1787447805,21.09,1061,73
1787447806,20.99,1061,73
1787447807,21.07,1061,73
1787447808,20.94,1061,73
1787447809,20.96,1061,73
1787447810,20.83,1061,73
1787447811,20.81,1069,73
1787447812,13.86,1069,72
1787447813,13.73,410,72
1787447814,13.26,410,71
1787447815,11.11,410,70
1787447816,9.33,409,70
1787447817,9.07,408,69
1787447818,8.95,408,69
1787447819,8.93,407,69
1787447820,10.18,324,69
1787447821,13.60,324,70
1787447822,13.32,320,70
1787447823,9.34,319,69
1787447824,9.35,319,69
1787447825,9.49,319,68
1787447826,12.78,883,69
1787447827,17.08,2396,71
1787447828,23.28,2388,71
1787447829,22.62,2372,72
1787447830,22.71,2372,72
1787447831,22.91,2372,72
